"STYLE_CD","COUNT(*)"
BRNW47911,1
BROA46111,1
BROA47111,1
BROA47311,1
BROA47411,1
BROM48011,1
BROM54211,3
BROM56211,3
BROW46111,1
BROW46211,1
BROW46311,1
BROW49111,1
BRPAA15431,3
BRPAA17431,4
BRPAA17731,6
BRPAM16121,6
BRPAM16461,3
BRPAM16463,5
BRPAM16524,3
BRPAM17122,6
BRPAM17411,9
BRPAM17414,6
BRPAM17446,6
BRPAM17511,3
BRPAM18414,3
BRPAM18551,3
BRPAM18644,3
BRPAM18812,6
BRPAM19441,18
BRPAM19632,3
BRPAM19715,6
BRPAM21411,27
BRPAM21572,6
BRPAS17432,3
BRPAS18413,3
BRPAS18712,3
BRPAW15514,4
BRPAW15713,6
BRPAW15731,11
BRPAW16443,7
BRPAW16631,4
BRPAW16741,6
BRPAW17521,3
BRPAW17543,6
BRPAW17644,3
BRPAW17921,9
BRPAW17922,3
BRPAW18644,6
BRPAW19581,3
BRPAW20572,3
BRPAW20653,3
BRPAW21472,7
BRPAW21473,4
BRPDS21221,3
BRPDW21442,3
BRSAA15793,6
BRSAA16793,3
BRSAA17472,6
BRSAA17491,3
BRSAA20472,3
BRSAA20473,3
BRSAM16572,12
BRSAM16737,3
BRSAM16755,3
BRSAM16791,12
